CustomerID	Count	Country	State	City	Zip Code	Lat Long	Latitude	Longitude	Gender	Senior Citizen	Partner	Dependents	Tenure Months	Phone Service	Multiple Lines	Internet Service	Online Security	Online Backup	Device Protection	Tech Support	Streaming TV	Streaming Movies	Contract	Paperless Billing	Payment Method	Monthly Charges	Total Charges	Churn Label	Churn Value	Churn Score	CLTV	Churn Reason
9237-HQITU	1	United States	California	Los Angeles	90005	34.059281, -118.30742	34.059281	-118.307420	Female	No	No	Yes	2	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	70.7	151.65	Yes	1	67	2701	Moved
9305-CDSKC	1	United States	California	Los Angeles	90006	34.048013, -118.293953	34.048013	-118.293953	Female	No	No	Yes	8	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	99.65	820.5	Yes	1	86	5372	Moved
7892-POOKP	1	United States	California	Los Angeles	90010	34.062125, -118.315709	34.062125	-118.315709	Female	No	Yes	Yes	28	Yes	Yes	Fiber optic	No	No	Yes	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	104.8	3046.05	Yes	1	84	5003	Moved
0280-XJGEX	1	United States	California	Los Angeles	90015	34.039224, -118.266293	34.039224	-118.266293	Male	No	No	Yes	49	Yes	Yes	Fiber optic	No	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	103.7	5036.3	Yes	1	89	5340	Competitor had better devices
6467-CHFZW	1	United States	California	Los Angeles	90028	34.099869, -118.326843	34.099869	-118.326843	Male	No	Yes	Yes	47	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	99.35	4749.15	Yes	1	77	5789	Competitor had better devices
6047-YHPVI	1	United States	California	Los Angeles	90039	34.110845, -118.259595	34.110845	-118.259595	Male	No	No	Yes	5	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	69.7	316.9	Yes	1	66	2454	Competitor offered higher download speeds
5380-WJKOV	1	United States	California	Los Angeles	90041	34.137412, -118.207607	34.137412	-118.207607	Male	No	No	Yes	34	Yes	Yes	Fiber optic	No	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	106.35	3549.25	Yes	1	65	2941	Competitor offered higher download speeds
8168-UQWWF	1	United States	California	Los Angeles	90042	34.11572, -118.192754	34.115720	-118.192754	Female	No	No	Yes	11	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	97.85	1105.4	Yes	1	70	5674	Competitor offered more data
7760-OYPDY	1	United States	California	Los Angeles	90056	33.987945, -118.370442	33.987945	-118.370442	Female	No	No	Yes	2	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	80.65	144.15	Yes	1	90	5586	Competitor offered more data
9420-LOJKX	1	United States	California	Los Angeles	90061	33.92128, -118.274186	33.921280	-118.274186	Female	No	No	Yes	15	Yes	No	Fiber optic	Yes	Yes	No	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	99.1	1426.4	Yes	1	82	2966	Competitor offered more data
